Instrument,Strategy,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Contracts,PnL,Cumulative_PnL,PnL_%,Cumulative_PnL_%,Peak_to_Peak_DD_%,Duration_Hours,Entry_Signal,Exit_Signal,Max_Favorable_Excursion,Max_Adverse_Excursion,Trade_Efficiency
MNQ,Fast,2015-10-14 15:50:00,2015-10-15 15:50:00,6452.25,6531.0,2.0,315.0,6124.0,0.0252,0.24496,0.0,24.0,LE2.Fast.C,LX2.Fast.C,9.0,-319.0,0.9878
MNQ,Slow,2015-10-21 15:35:00,2015-10-22 15:35:00,6520.75,6672.25,2.0,606.0,6730.0,0.04848,0.2692,0.0,24.0,LE.Slow.C,LX1.Slow.C,6.0,-631.0,0.9608
MNQ,Fast,2015-10-21 15:50:00,2015-10-22 15:50:00,6526.75,6684.0,2.0,629.0,7359.0,0.05032,0.29436,0.0,24.0,LE2.Fast.C,LX2.Fast.C,19.0,-632.0,0.9954000000000001
MNQ,Slow,2015-11-12 15:35:00,2015-11-17 15:35:00,6703.25,6689.5,2.0,-55.0,7304.0,-0.0044,0.29216,-0.0022,120.0,LE.Slow.C,LX1.Slow.C,513.0,-58.0,0.8020999999999999
MNQ,Fast,2015-11-12 15:50:00,2015-11-16 15:50:00,6703.75,6683.5,2.0,-81.0,7223.0,-0.00648,0.28892,-0.00544,96.0,LE2.Fast.C,LX2.Fast.C,515.0,-27.0,0.8007
MNQ,Slow,2015-12-03 15:35:00,2015-12-04 15:30:00,6731.5,6833.5,2.0,408.0,7631.0,0.03264,0.30524,0.0,23.916666666666668,LE.Slow.C,LX1.Slow.C,34.0,-447.0,0.9189
MNQ,Slow,2015-12-11 15:35:00,2015-12-14 15:35:00,6656.75,6686.5,2.0,119.0,7750.0,0.00952,0.31,0.0,72.0,LE.Slow.C,LX.V140.Slow.C,237.0,-172.0,0.8704000000000001
MNQ,Fast,2015-12-11 15:50:00,2015-12-14 15:00:00,6651.75,6689.25,2.0,150.0,7900.0,0.012,0.316,0.0,71.16666666666667,LE2.Fast.C,LX1.Open.Fast.C,217.0,-190.0,0.9017000000000001
MNQ,Slow,2015-12-17 15:35:00,2015-12-22 15:35:00,6696.25,6716.25,2.0,80.0,7980.0,0.0064,0.3192,0.0,120.0,LE.Slow.C,LX1.Slow.C,271.0,-88.0,0.9777
MNQ,Fast,2015-12-17 15:50:00,2015-12-21 15:50:00,6696.0,6695.0,2.0,-4.0,7976.0,-0.00032,0.31904,-0.00016,96.0,LE2.Fast.C,LX2.Fast.C,270.0,-74.0,0.7733
MNQ,Slow,2015-12-31 15:35:00,2016-01-13 15:35:00,6717.5,6301.0,2.0,-1666.0,6310.0,-0.13328,0.2524,-0.0668,312.0,LE.Slow.C,LX.V140.Slow.C,1696.0,-62.0,0.0171
MNQ,Fast,2015-12-31 15:50:00,2016-01-05 15:50:00,6717.5,6611.75,2.0,-423.0,5887.0,-0.03384,0.23548,-0.08372,120.0,LE2.Fast.C,LX2.Fast.C,646.0,-62.0,0.315
MNQ,Fast,2016-01-07 15:50:00,2016-01-08 15:00:00,6415.25,6386.75,2.0,-114.0,5773.0,-0.00912,0.23092,-0.08828,23.166666666666668,LE2.Fast.C,LX.Gap.Fast.C,120.0,-324.0,0.013500000000000002
MNQ,Fast,2016-01-08 15:50:00,2016-01-11 15:00:00,6394.5,6412.25,2.0,71.0,5844.0,0.00568,0.23376,-0.08544,71.16666666666667,LE2.Fast.C,LX.Gap.Fast.C,238.0,-145.0,0.8068000000000001
MNQ,Fast,2016-01-11 15:50:00,2016-01-12 15:50:00,6397.0,6435.25,2.0,153.0,5997.0,0.01224,0.23988,-0.07932,24.0,LE2.Fast.C,LX2.Fast.C,137.0,-300.0,0.6636
MNQ,Slow,2016-01-25 15:20:00,2016-01-26 15:35:00,6312.75,6350.25,2.0,150.0,6147.0,0.012,0.24588,-0.07332,24.25,LE.Slow.C,LX1.Slow.C,214.0,-229.0,0.8217
MNQ,Slow,2016-01-27 15:35:00,2016-01-29 15:35:00,6260.25,6390.75,2.0,522.0,6669.0,0.04176,0.26676,-0.05244,48.0,LE.Slow.C,LX1.Slow.C,109.0,-549.0,0.9590000000000001
MNQ,Slow,2016-02-08 15:35:00,2016-02-09 15:35:00,6091.25,6071.0,2.0,-81.0,6588.0,-0.00648,0.26352,-0.05568,24.0,LE.Slow.C,LX.V140.Slow.C,270.0,-156.0,0.4437
MNQ,Fast,2016-02-08 15:50:00,2016-02-09 15:50:00,6093.75,6067.75,2.0,-104.0,6484.0,-0.00832,0.25936,-0.05984,24.0,LE2.Fast.C,LX2.V140.Fast.C,280.0,-146.0,0.4131
MNQ,Slow,2016-02-10 15:35:00,2016-02-12 15:30:00,6094.25,6132.5,2.0,153.0,6637.0,0.01224,0.26548,-0.05372,47.916666666666664,LE.Slow.C,LX1.Slow.C,423.0,-198.0,0.9275
MNQ,Fast,2016-02-10 15:50:00,2016-02-12 15:00:00,6086.5,6138.5,2.0,208.0,6845.0,0.01664,0.2738,-0.0454,47.166666666666664,LE2.Fast.C,LX2.Open.Fast.C,392.0,-229.0,0.9662000000000001
MNQ,Slow,2016-02-23 15:35:00,2016-02-24 15:35:00,6283.5,6333.75,2.0,201.0,7046.0,0.01608,0.28184,-0.03736,24.0,LE.Slow.C,LX1.Slow.C,290.0,-213.0,0.9761
MNQ,Fast,2016-02-23 15:50:00,2016-02-24 15:50:00,6281.0,6341.5,2.0,242.0,7288.0,0.01936,0.29152,-0.02768,24.0,LE2.Fast.C,LX2.Fast.C,280.0,-247.0,0.9904999999999999
MNQ,Slow,2016-02-29 15:20:00,2016-03-01 15:35:00,6329.5,6464.5,2.0,540.0,7828.0,0.0432,0.31312,-0.00608,24.25,LE.Slow.C,LX1.Slow.C,92.0,-541.0,0.9984000000000001
MNQ,Fast,2016-02-29 15:50:00,2016-03-01 15:50:00,6328.5,6463.5,2.0,540.0,8368.0,0.0432,0.33472,0.0,24.0,LE2.Fast.C,LX2.Fast.C,88.0,-546.0,0.9904999999999999
MNQ,Slow,2016-03-08 15:30:00,2016-03-11 15:20:00,6399.25,6479.75,2.0,322.0,8690.0,0.02576,0.3476,0.0,71.83333333333333,LE.Slow.C,LX1.Slow.C,175.0,-359.0,0.9307
